data,clasificador,porcentajeEtiquetado,accuracy
BCW,DT,0.01,0.645833333
BCW,DT,0.05,0.923611111
BCW,DT,0.1,0.861111111
BCW,DT,0.3,0.881944444
BCW,LR,0.01,0.826388889
BCW,LR,0.05,0.965277778
BCW,LR,0.1,0.986111111
BCW,LR,0.3,0.951388889
BCW,RF,0.01,0.770833333
BCW,RF,0.05,0.923611111
BCW,RF,0.1,0.881944444
BCW,RF,0.3,0.916666667
BCW,NB,0.01,0.430555556
BCW,NB,0.05,0.513888889
BCW,NB,0.1,0.409722222
BCW,NB,0.3,0.402777778
BCW,LSVM,0.01,0.916666667
BCW,LSVM,0.05,0.9375
BCW,LSVM,0.1,0.965277778
BCW,LSVM,0.3,0.930555556
ADULT,DT,0.01,0.777753108
ADULT,DT,0.05,0.838920959
ADULT,DT,0.1,0.830261989
ADULT,DT,0.3,0.847024867
ADULT,LR,0.01,0.817717584
ADULT,LR,0.05,0.827819716
ADULT,LR,0.1,0.830595027
ADULT,LR,0.3,0.833148313
ADULT,RF,0.01,0.82571048
ADULT,RF,0.05,0.844027531
ADULT,RF,0.1,0.845470693
ADULT,RF,0.3,0.848801066
ADULT,NB,0.01,0.772646536
ADULT,NB,0.05,0.772979574
ADULT,NB,0.1,0.770315275
ADULT,NB,0.3,0.771536412
ADULT,LSVM,0.01,0.807726465
ADULT,LSVM,0.05,0.829262877
ADULT,LSVM,0.1,0.832482238
ADULT,LSVM,0.3,0.826265542
POKER,DT,0.01,0.553252132
POKER,DT,0.05,0.574710484
POKER,DT,0.1,0.598551321
POKER,DT,0.3,0.585779444
POKER,LR,0.01,0.499902062
POKER,LR,0.05,0.500369765
POKER,LR,0.1,0.498574906
POKER,LR,0.3,0.502852186
POKER,RF,0.01,0.616779728
POKER,RF,0.05,0.678788291
POKER,RF,0.1,0.719866165
POKER,RF,0.3,0.72316007
POKER,NB,0.01,0.500285818
POKER,NB,0.05,0.500513673
POKER,NB,0.1,0.498870718
POKER,NB,0.3,0.502652313
POKER,LSVM,0.01,0.499210502
POKER,LSVM,0.05,0.4998421
POKER,LSVM,0.1,0.497687471
POKER,LSVM,0.3,0.500853457
