data,clasificador,porcentajeEtiquetado,accuracy
BCW,DT,0.01,0.6458333333333334
BCW,DT,0.05,0.9236111111111112
BCW,DT,0.1,0.8611111111111112
BCW,DT,0.3,0.8819444444444444
BCW,LR,0.01,0.8263888888888888
BCW,LR,0.05,0.9652777777777778
BCW,LR,0.1,0.9861111111111112
BCW,LR,0.3,0.9513888888888888
BCW,RF,0.01,0.7708333333333334
BCW,RF,0.05,0.9236111111111112
BCW,RF,0.1,0.8819444444444444
BCW,RF,0.3,0.9166666666666666
BCW,NB,0.01,0.4305555555555556
BCW,NB,0.05,0.5138888888888888
BCW,NB,0.1,0.4097222222222222
BCW,NB,0.3,0.4027777777777778
BCW,LSVM,0.01,0.9166666666666666
BCW,LSVM,0.05,0.9375
BCW,LSVM,0.1,0.9652777777777778
BCW,LSVM,0.3,0.9305555555555556
ADULT,DT,0.01,0.7777531083481349
ADULT,DT,0.05,0.8389209591474245
ADULT,DT,0.1,0.8302619893428064
ADULT,DT,0.3,0.8470248667850799
ADULT,LR,0.01,0.8177175843694494
ADULT,LR,0.05,0.8278197158081705
ADULT,LR,0.1,0.830595026642984
ADULT,LR,0.3,0.8331483126110124
ADULT,RF,0.01,0.8257104795737122
ADULT,RF,0.05,0.8440275310834814
ADULT,RF,0.1,0.8454706927175843
ADULT,RF,0.3,0.8488010657193605
ADULT,NB,0.01,0.7726465364120781
ADULT,NB,0.05,0.7729795737122558
ADULT,NB,0.1,0.7703152753108348
ADULT,NB,0.3,0.7715364120781527
ADULT,LSVM,0.01,0.8077264653641207
ADULT,LSVM,0.05,0.8292628774422736
ADULT,LSVM,0.1,0.8324822380106572
ADULT,LSVM,0.3,0.8262655417406749
