data,classifier,criterion,percentageLabeled,thresholdOrKBest,iteration,LabeledInitial,UnLabeledInitial,LabeledFinal,UnLabeledFinal,percentageLabeledFinal,accuracy,AUC,PR,F1score
sonar,ST-DT-Spark,threshold,0.05,0.7,1,6,150,156,0,1,0.50203284,0.532612003,0.510738049,0.529585059
sonar,ST-DT-Spark,threshold,0.05,0.8,1,6,150,156,0,1,0.50203284,0.532612003,0.510738049,0.529585059
sonar,ST-DT-Spark,threshold,0.05,0.9,1,6,150,156,0,1,0.50203284,0.532612003,0.510738049,0.529585059
sonar,ST-DT-Spark,threshold,0.05,0.95,1,6,150,156,0,1,0.50203284,0.532612003,0.510738049,0.529585059
sonar,ST-DT-Spark,threshold,0.15,0.7,1,26,130,156,0,1,0.634022409,0.648742678,0.620454559,0.61477689
sonar,ST-DT-Spark,threshold,0.15,0.8,1,26,130,156,0,1,0.634022409,0.648742678,0.620454559,0.61477689
sonar,ST-DT-Spark,threshold,0.15,0.9,1,26,130,156,0,1,0.634022409,0.648742678,0.620454559,0.61477689
sonar,ST-DT-Spark,threshold,0.15,0.95,1,26,130,156,0,1,0.634022409,0.648742678,0.620454559,0.61477689
sonar,ST-DT-Spark,threshold,0.3,0.7,1,54,102,156,0,1,0.642233548,0.673356832,0.633590298,0.58678093
sonar,ST-DT-Spark,threshold,0.3,0.8,1,54,102,156,0,1,0.642233548,0.673356832,0.633590298,0.58678093
sonar,ST-DT-Spark,threshold,0.3,0.9,1,54,102,156,0,1,0.642233548,0.673356832,0.633590298,0.58678093
sonar,ST-DT-Spark,threshold,0.3,0.95,1,54,102,156,0,1,0.642233548,0.673356832,0.633590298,0.58678093
sonar,ST-DT-Spark,threshold,0.6,0.7,1,94,61,156,0,1,0.687012561,0.700178212,0.660339158,0.65863808
sonar,ST-DT-Spark,threshold,0.6,0.8,1,94,61,156,0,1,0.687012561,0.700178212,0.660339158,0.65863808
sonar,ST-DT-Spark,threshold,0.6,0.9,1,94,61,156,0,1,0.687012561,0.700178212,0.660339158,0.65863808
sonar,ST-DT-Spark,threshold,0.6,0.95,1,94,61,156,0,1,0.653114256,0.666988556,0.619169187,0.640304747
sonar,ST-LR-Spark,threshold,0.05,0.7,2,6,150,156,0,1,0.499273574,0.533418508,0.499082068,0.523507459
sonar,ST-LR-Spark,threshold,0.05,0.8,3,6,150,155,0,1,0.504472889,0.534298698,0.498190269,0.510398297
sonar,ST-LR-Spark,threshold,0.05,0.9,2,6,150,156,0,1,0.518896349,0.552173951,0.512876243,0.546222096
sonar,ST-LR-Spark,threshold,0.05,0.95,3,6,150,155,0,1,0.507598727,0.546225592,0.506567491,0.538875929
sonar,ST-LR-Spark,threshold,0.15,0.7,2,26,130,156,0,1,0.684847255,0.700478467,0.680355111,0.669121956
sonar,ST-LR-Spark,threshold,0.15,0.8,2,26,130,156,0,1,0.670806046,0.688355623,0.667214105,0.656320753
sonar,ST-LR-Spark,threshold,0.15,0.9,2,26,130,156,0,1,0.675708006,0.68697792,0.664909265,0.661857248
sonar,ST-LR-Spark,threshold,0.15,0.95,2,26,130,155,0,1,0.667084753,0.677232792,0.657966891,0.649444661
sonar,ST-LR-Spark,threshold,0.3,0.7,2,54,102,155,0,1,0.725890045,0.72908541,0.686220584,0.691033138
sonar,ST-LR-Spark,threshold,0.3,0.8,2,54,102,155,0,1,0.73027601,0.732761881,0.69287858,0.695114771
sonar,ST-LR-Spark,threshold,0.3,0.9,2,54,102,155,0,1,0.725374049,0.731528328,0.687405691,0.696719392
sonar,ST-LR-Spark,threshold,0.3,0.95,2,54,102,155,0,1,0.725374049,0.731528328,0.687405691,0.696719392
sonar,ST-LR-Spark,threshold,0.6,0.7,1,94,61,156,0,1,0.755916888,0.75725848,0.713422816,0.719977496
sonar,ST-LR-Spark,threshold,0.6,0.8,1,94,61,156,0,1,0.755916888,0.75725848,0.713422816,0.719977496
sonar,ST-LR-Spark,threshold,0.6,0.9,1,94,61,156,0,1,0.755916888,0.75725848,0.713422816,0.719977496
sonar,ST-LR-Spark,threshold,0.6,0.95,1,94,61,156,0,1,0.755916888,0.75725848,0.713422816,0.719977496
sonar,ST-RF-Spark,threshold,0.05,0.7,3,6,150,145,10,0.933333333,0.515185296,0.569865237,0.60738368,0.329232804
sonar,ST-RF-Spark,threshold,0.05,0.8,4,6,150,105,50,0.666666667,0.516896892,0.565721523,0.619504575,0.328571429
sonar,ST-RF-Spark,threshold,0.05,0.9,5,6,150,29,126,0.16,0.5121483,0.552163483,0.587052879,0.411020863
sonar,ST-RF-Spark,threshold,0.05,0.95,5,6,150,8,147,0.02,0.508575685,0.547736399,0.502708728,0.41194607
sonar,ST-RF-Spark,threshold,0.15,0.7,5,26,130,138,17,0.869230769,0.555667294,0.595952418,0.577651708,0.447729685
sonar,ST-RF-Spark,threshold,0.15,0.8,5,26,130,103,52,0.6,0.554916978,0.597096731,0.612606566,0.461198686
sonar,ST-RF-Spark,threshold,0.15,0.9,5,26,130,44,111,0.146153846,0.589244888,0.619344778,0.636961477,0.516284153
sonar,ST-RF-Spark,threshold,0.15,0.95,5,26,130,29,126,0.030769231,0.583326614,0.614413215,0.637045041,0.529413217
sonar,ST-RF-Spark,threshold,0.3,0.7,5,54,102,136,19,0.81372549,0.689821421,0.717545314,0.752857778,0.612250554
sonar,ST-RF-Spark,threshold,0.3,0.8,5,54,102,107,49,0.519607843,0.694207386,0.70729271,0.725772299,0.617515688
sonar,ST-RF-Spark,threshold,0.3,0.9,5,54,102,70,86,0.156862745,0.724015587,0.741288857,0.747329185,0.666523045
sonar,ST-RF-Spark,threshold,0.3,0.95,5,54,102,55,100,0.019607843,0.716588681,0.735448806,0.744490609,0.668546366
sonar,ST-RF-Spark,threshold,0.6,0.7,5,94,61,144,11,0.819672131,0.732787517,0.738865394,0.772555433,0.659362934
sonar,ST-RF-Spark,threshold,0.6,0.8,5,94,61,129,27,0.557377049,0.749368604,0.754686268,0.793573531,0.683041267
sonar,ST-RF-Spark,threshold,0.6,0.9,5,94,61,110,46,0.245901639,0.721271253,0.73704324,0.734583108,0.671064222
sonar,ST-RF-Spark,threshold,0.6,0.95,5,94,61,97,58,0.049180328,0.726907852,0.736631154,0.732942452,0.674227089
sonar,ST-NB-Spark,threshold,0.05,0.7,2,6,150,155,0,1,0.412596507,0.496474359,0.458019162,0.297321429
sonar,ST-NB-Spark,threshold,0.05,0.8,2,6,150,156,0,1,0.412596507,0.5,0.475432389,0.279464286
sonar,ST-NB-Spark,threshold,0.05,0.9,3,6,150,115,40,0.733333333,0.424791629,0.499038462,0.474069233,0.352993697
sonar,ST-NB-Spark,threshold,0.05,0.95,3,6,150,115,40,0.733333333,0.424791629,0.499038462,0.474069233,0.352993697
sonar,ST-NB-Spark,threshold,0.15,0.7,4,26,130,144,11,0.915384615,0.466125586,0.521314484,0.533505444,0.428453223
sonar,ST-NB-Spark,threshold,0.15,0.8,4,26,130,133,22,0.830769231,0.443446938,0.50292758,0.478496016,0.367019271
sonar,ST-NB-Spark,threshold,0.15,0.9,5,26,130,95,60,0.538461538,0.453781787,0.513516573,0.53013915,0.3900471
sonar,ST-NB-Spark,threshold,0.15,0.95,5,26,130,26,130,0,0.48129243,0.533372935,0.512072925,0.47394958
sonar,ST-NB-Spark,threshold,0.3,0.7,5,54,102,135,21,0.794117647,0.477274531,0.544822781,0.552325915,0.411460469
sonar,ST-NB-Spark,threshold,0.3,0.8,5,54,102,82,73,0.284313725,0.536777664,0.597931736,0.580551295,0.475514461
sonar,ST-NB-Spark,threshold,0.3,0.9,5,54,102,58,98,0.039215686,0.597967224,0.647705492,0.615561712,0.561965241
sonar,ST-NB-Spark,threshold,0.3,0.95,5,54,102,54,102,0,0.585772102,0.638090107,0.612043888,0.538068182
sonar,ST-NB-Spark,threshold,0.6,0.7,5,94,61,127,28,0.540983607,0.579595083,0.608687886,0.599147114,0.480836992
sonar,ST-NB-Spark,threshold,0.6,0.8,5,94,61,100,55,0.098360656,0.665676697,0.687109229,0.659147819,0.613619916
sonar,ST-NB-Spark,threshold,0.6,0.9,5,94,61,94,61,0,0.658383536,0.684072792,0.660253152,0.602336592
sonar,ST-NB-Spark,threshold,0.6,0.95,5,94,61,94,61,0,0.658383536,0.684072792,0.660253152,0.602336592
spectfheart,ST-DT-Spark,threshold,0.05,0.7,1,7,193,200,0,1,0.740738672,0.498346561,0.210953937,0.099230769
spectfheart,ST-DT-Spark,threshold,0.05,0.8,1,7,193,200,0,1,0.740738672,0.498346561,0.210953937,0.099230769
spectfheart,ST-DT-Spark,threshold,0.05,0.9,1,7,193,200,0,1,0.740738672,0.498346561,0.210953937,0.099230769
spectfheart,ST-DT-Spark,threshold,0.05,0.95,1,7,193,200,0,1,0.740738672,0.498346561,0.210953937,0.099230769
spectfheart,ST-DT-Spark,threshold,0.15,0.7,1,31,169,200,0,1,0.684030692,0.538399352,0.254517919,0.268310709
spectfheart,ST-DT-Spark,threshold,0.15,0.8,1,31,169,200,0,1,0.684030692,0.538399352,0.254517919,0.268310709
spectfheart,ST-DT-Spark,threshold,0.15,0.9,1,31,169,200,0,1,0.684030692,0.538399352,0.254517919,0.268310709
spectfheart,ST-DT-Spark,threshold,0.15,0.95,1,31,169,200,0,1,0.684030692,0.538399352,0.254517919,0.268310709
spectfheart,ST-DT-Spark,threshold,0.3,0.7,1,63,136,200,0,1,0.730419415,0.588166027,0.314558265,0.345819398
spectfheart,ST-DT-Spark,threshold,0.3,0.8,1,63,136,200,0,1,0.730419415,0.588166027,0.314558265,0.345819398
spectfheart,ST-DT-Spark,threshold,0.3,0.9,1,63,136,200,0,1,0.730419415,0.588166027,0.314558265,0.345819398
spectfheart,ST-DT-Spark,threshold,0.3,0.95,1,63,136,200,0,1,0.730419415,0.588166027,0.314558265,0.345819398
spectfheart,ST-DT-Spark,threshold,0.6,0.7,1,122,77,200,0,1,0.759320062,0.619252526,0.361983121,0.399272083
spectfheart,ST-DT-Spark,threshold,0.6,0.8,1,122,77,200,0,1,0.759320062,0.619252526,0.361983121,0.399272083
spectfheart,ST-DT-Spark,threshold,0.6,0.9,3,122,77,193,7,0.909090909,0.748450497,0.612177055,0.353798598,0.39211787
spectfheart,ST-DT-Spark,threshold,0.6,0.95,4,122,77,192,8,0.896103896,0.730068144,0.600602981,0.320139301,0.372707932
spectfheart,ST-LR-Spark,threshold,0.05,0.7,1,7,193,200,0,1,0.462999947,0.512665188,0.20737766,0.261322011
spectfheart,ST-LR-Spark,threshold,0.05,0.8,1,7,193,200,0,1,0.467464233,0.515641378,0.210827336,0.263629704
spectfheart,ST-LR-Spark,threshold,0.05,0.9,1,7,193,200,0,1,0.463787762,0.50009905,0.194095643,0.227915418
spectfheart,ST-LR-Spark,threshold,0.05,0.95,2,7,193,200,0,1,0.467464233,0.502413865,0.194095643,0.227915418
spectfheart,ST-LR-Spark,threshold,0.15,0.7,1,31,169,200,0,1,0.72477675,0.630493077,0.327426396,0.39840587
spectfheart,ST-LR-Spark,threshold,0.15,0.8,2,31,169,200,0,1,0.738957422,0.645374029,0.348609869,0.426910083
spectfheart,ST-LR-Spark,threshold,0.15,0.9,2,31,169,200,0,1,0.739255514,0.647894602,0.347808752,0.426023392
spectfheart,ST-LR-Spark,threshold,0.15,0.95,2,31,169,200,0,1,0.750284926,0.667405184,0.367606127,0.455913606
spectfheart,ST-LR-Spark,threshold,0.3,0.7,1,63,136,200,0,1,0.723516904,0.588294218,0.296258458,0.343571429
spectfheart,ST-LR-Spark,threshold,0.3,0.8,1,63,136,200,0,1,0.723516904,0.588294218,0.296258458,0.343571429
spectfheart,ST-LR-Spark,threshold,0.3,0.9,1,63,136,200,0,1,0.723516904,0.588294218,0.296258458,0.343571429
spectfheart,ST-LR-Spark,threshold,0.3,0.95,1,63,136,200,0,1,0.723516904,0.588294218,0.296258458,0.343571429
spectfheart,ST-LR-Spark,threshold,0.6,0.7,3,122,77,198,1,0.987012987,0.685865122,0.592252617,0.287648002,0.354439979
spectfheart,ST-LR-Spark,threshold,0.6,0.8,4,122,77,197,3,0.961038961,0.682241933,0.601961892,0.292456924,0.370270434
spectfheart,ST-LR-Spark,threshold,0.6,0.9,4,122,77,194,5,0.935064935,0.681645749,0.589731122,0.281477695,0.352213789
spectfheart,ST-LR-Spark,threshold,0.6,0.95,4,122,77,187,13,0.831168831,0.700219732,0.607918953,0.301265618,0.376693058
spectfheart,ST-RF-Spark,threshold,0.05,0.7,2,7,193,200,0,1,0.790896235,0.5,0.209103765,0
spectfheart,ST-RF-Spark,threshold,0.05,0.8,3,7,193,196,3,0.984455959,0.790896235,0.5,0.209103765,0
spectfheart,ST-RF-Spark,threshold,0.05,0.9,3,7,193,116,84,0.564766839,0.808753378,0.535714286,0.329639479,0.111111111
spectfheart,ST-RF-Spark,threshold,0.05,0.95,3,7,193,101,98,0.492227979,0.800612622,0.53042328,0.271761328,0.105263158
spectfheart,ST-RF-Spark,threshold,0.15,0.7,4,31,169,199,1,0.99408284,0.790896235,0.5,0.209103765,0
spectfheart,ST-RF-Spark,threshold,0.15,0.8,5,31,169,182,18,0.893491124,0.787219765,0.497685185,0.183368471,0
spectfheart,ST-RF-Spark,threshold,0.15,0.9,5,31,169,102,98,0.420118343,0.782755479,0.504088504,0.200030019,0.038461538
spectfheart,ST-RF-Spark,threshold,0.15,0.95,5,31,169,63,137,0.189349112,0.779132188,0.530209085,0.365943827,0.14379085
spectfheart,ST-RF-Spark,threshold,0.3,0.7,5,63,136,196,4,0.970588235,0.794274613,0.511363636,0.325197131,0.041666667
spectfheart,ST-RF-Spark,threshold,0.3,0.8,5,63,136,178,21,0.845588235,0.797897802,0.519176136,0.42721253,0.071078431
spectfheart,ST-RF-Spark,threshold,0.3,0.9,5,63,136,126,74,0.455882353,0.795062429,0.53599754,0.437399417,0.157679739
spectfheart,ST-RF-Spark,threshold,0.3,0.95,5,63,136,98,101,0.257352941,0.782933018,0.558968149,0.300547692,0.222994987
spectfheart,ST-RF-Spark,threshold,0.6,0.7,5,122,77,192,7,0.909090909,0.794153957,0.520833333,0.30436197,0.088235294
spectfheart,ST-RF-Spark,threshold,0.6,0.8,5,122,77,175,24,0.688311688,0.79306805,0.547481426,0.387866213,0.169225146
spectfheart,ST-RF-Spark,threshold,0.6,0.9,5,122,77,156,43,0.441558442,0.797830428,0.57592058,0.428313755,0.266864465
spectfheart,ST-RF-Spark,threshold,0.6,0.95,5,122,77,143,57,0.25974026,0.796379054,0.625552895,0.452875807,0.384047493
