data,clasificador,porcentajeEtiquetado,accuracy,AUC,PR,F1score
BCW,DT,0.01,0.645833333,0.530686295,0.508647799,0.163934426
BCW,DT,0.05,0.923611111,0.900165872,0.919799409,0.886597938
BCW,DT,0.1,0.861111111,0.834957495,0.800812369,0.795918367
BCW,DT,0.3,0.881944444,0.875077752,0.798218029,0.841121495
BCW,LR,0.01,0.826388889,0.835061165,0.695590933,0.786324786
BCW,LR,0.05,0.965277778,0.952830189,0.9701913,0.95049505
BCW,LR,0.1,0.986111111,0.981132075,0.98807652,0.980769231
BCW,LR,0.3,0.951388889,0.953659548,0.900475442,0.935779817
BCW,RF,0.01,0.770833333,0.688679245,0.803262579,0.547945205
BCW,RF,0.05,0.923611111,0.904105329,0.906557629,0.888888889
BCW,RF,0.1,0.881944444,0.863259382,0.822392558,0.831683168
BCW,RF,0.3,0.916666667,0.91436865,0.848922003,0.888888889
BCW,NB,0.01,0.430555556,0.549450549,0.392592593,0.563829787
BCW,NB,0.05,0.513888889,0.583868961,0.416598092,0.5625
BCW,NB,0.1,0.409722222,0.497511922,0.366784591,0.50867052
BCW,NB,0.3,0.402777778,0.495956873,0.366019839,0.511363636
BCW,LSVM,0.01,0.916666667,0.90255028,0.876834382,0.882352941
BCW,LSVM,0.05,0.9375,0.922973253,0.919352725,0.910891089
BCW,LSVM,0.1,0.965277778,0.960709102,0.944741776,0.952380952
BCW,LSVM,0.3,0.930555556,0.937176032,0.855041662,0.910714286
ADULT,DT,0.001,0.699045293,0.63249532,0.377462656,0.455294354
ADULT,DT,0.005,0.771536412,0.696267327,0.480687364,0.546096162
ADULT,DT,0.01,0.777753108,0.720507587,0.495292018,0.578880942
ADULT,DT,0.05,0.838920959,0.731448516,0.645672854,0.617251385
ADULT,DT,0.1,0.830261989,0.777606475,0.594364366,0.666375736
ADULT,DT,0.3,0.847024867,0.747346953,0.662268643,0.643190057
ADULT,LR,0.001,0.576154529,0.564112596,0.294530376,0.391456806
ADULT,LR,0.005,0.80017762,0.727650297,0.53473531,0.594959496
ADULT,LR,0.01,0.817717584,0.735309016,0.573637231,0.611820331
ADULT,LR,0.05,0.827819716,0.734208744,0.602969473,0.615231952
ADULT,LR,0.1,0.830595027,0.735919752,0.610939507,0.618881119
ADULT,LR,0.3,0.833148313,0.730351802,0.623921042,0.612728678
ADULT,RF,0.001,0.735457371,0.708512248,0.442718754,0.555327486
ADULT,RF,0.005,0.797513321,0.754244259,0.531534727,0.624536846
ADULT,RF,0.01,0.82571048,0.742111006,0.592896958,0.624222116
ADULT,RF,0.05,0.844027531,0.742868078,0.654678801,0.635538262
ADULT,RF,0.1,0.845470693,0.756639155,0.647426978,0.653558985
ADULT,RF,0.3,0.848801066,0.750135841,0.666618705,0.647880041
ADULT,NB,0.001,0.745226465,0.528200678,0.374641164,0.150943396
ADULT,NB,0.005,0.773090586,0.613342451,0.480537165,0.39275104
ADULT,NB,0.01,0.772646536,0.595728632,0.487748302,0.346104725
ADULT,NB,0.05,0.772979574,0.607156387,0.482504812,0.377094121
ADULT,NB,0.1,0.770315275,0.597661608,0.476510137,0.353639488
ADULT,NB,0.3,0.771536412,0.596150174,0.482479273,0.348321723
ADULT,LSVM,0.001,0.69160746,0.655459497,0.385224293,0.488209285
ADULT,LSVM,0.005,0.80428508,0.722976483,0.543679955,0.59047619
ADULT,LSVM,0.01,0.807726465,0.733573167,0.550245826,0.605287147
ADULT,LSVM,0.05,0.829262877,0.728480259,0.611381138,0.608252674
ADULT,LSVM,0.1,0.832482238,0.731361426,0.620666027,0.613770156
ADULT,LSVM,0.3,0.826265542,0.703919746,0.62179089,0.570409004
POKER,DT,0.0001,0.498295084,0.498244859,0.497993486,0.476552334
POKER,DT,0.001,0.513137644,0.513171875,0.508999758,0.52605855
POKER,DT,0.01,0.553252132,0.553152313,0.537970173,0.587115223
POKER,DT,0.1,0.598551321,0.598349855,0.565850168,0.655379019
POKER,DT,0.3,0.585779444,0.585579583,0.589699591,0.504772055
POKER,LR,0.0001,0.499478332,0.499439038,0.498946648,0.482594754
POKER,LR,0.001,0.500173889,0.500186098,0.499524165,0.504796154
POKER,LR,0.01,0.499902062,0.499936611,0.500564179,0.485740124
POKER,LR,0.1,0.498574906,0.498681097,0.499487474,0.451444465
POKER,LR,0.3,0.502852186,0.502694109,0.501879327,0.428942704
POKER,RF,0.0001,0.505750343,0.505787074,0.50357912,0.519823994
POKER,RF,0.001,0.525841565,0.525801815,0.51998864,0.509642614
POKER,RF,0.01,0.616779728,0.616853326,0.603940572,0.592659319
POKER,RF,0.1,0.719866165,0.719845188,0.685134437,0.724813081
POKER,RF,0.3,0.72316007,0.723084615,0.710843401,0.704744283
POKER,NB,0.0001,0.500821478,0.500858206,0.500006159,0.51503736
POKER,NB,0.001,0.500901427,0.500904806,0.500062924,0.501966541
POKER,NB,0.01,0.500285818,0.500302981,0.500845252,0.493513334
POKER,NB,0.1,0.498870718,0.498962859,0.499744757,0.458549648
POKER,NB,0.3,0.502652313,0.50254037,0.50157906,0.452360621
POKER,LSVM,0.0001,0.498051239,0.497920397,0.497547639,0.437763897
POKER,LSVM,0.001,0.500809485,0.500855451,0.499998511,0.518546506
POKER,LSVM,0.01,0.499210502,0.499259115,0.500026371,0.478887535
POKER,LSVM,0.1,0.497687471,0.497720613,0.498841736,0.484069372
POKER,LSVM,0.3,0.500853457,0.500852715,0.500026807,0.500244143
TXNY,DT,0.0001,0.792801642,0.734394241,0.667360895,0.64331866
TXNY,DT,0.001,0.817629338,0.787948415,0.681616398,0.719725751
TXNY,DT,0.01,0.843129239,0.815178764,0.726154319,0.757540933
TXNY,DT,0.1,0.845197985,0.810460055,0.739432982,0.753461829
TXNY,DT,0.3,0.844520292,0.801643854,0.751329974,0.743451373
TXNY,LR,0.0001,0.806360982,0.725646644,0.748703284,0.624675601
TXNY,LR,0.001,0.830524704,0.779528293,0.735859804,0.71207693
TXNY,LR,0.01,0.832533089,0.781642484,0.740088198,0.715308516
TXNY,LR,0.1,0.832066661,0.778710815,0.743873949,0.711308162
TXNY,LR,0.3,0.832796484,0.781363417,0.741713536,0.715001239
TXNY,RF,0.0001,0.805414408,0.745561148,0.696549737,0.660312382
TXNY,RF,0.001,0.831155754,0.780458268,0.736689095,0.713442886
